dbn,school_name,complaints,material_incidents
11X509,High School of Language and Innovation,0,0
11X513,New World High School,0,0
11X514,The Bronxwood Preparatory Academy,9,0
11X542,Pelham Preparatory Academy,11,0
11X544,High School for Contemporary Arts,0,0
11X545,Bronx Aerospace High School,15,10
12X248,"Metropolitan High School, The",12,6
12X251,Explorations Academy,0,0
12X321,Crotona Academy High School,0,0
12X388,Pan American International High School at Monroe,0,0
12X446,Arturo A. Schomburg Satellite Academy Bronx,0,0
12X478,The Cinema School,8,6
12X480,Bronx Regional High School,0,0
12X511,Bronx Envision Academy,0,0
12X521,The Metropolitan Soundview High School,0,0
12X550,High School of World Cultures,0,0
12X682,Fannie Lou Hamer Freedom High School,8,0
12X684,Wings Academy,0,0
13K350,Urban Assembly School for Music and Art,7,0
13K419,"Science Skills Center High School for Science, Tec",0,0
13K430,Brooklyn Technical High School,0,0
13K439,Brooklyn International High School,10,0
13K483,The Urban Assembly School for Law and Justice,0,0
13K499,ACORN Community High School,0,0
13K575,Bedford Stuyvesant Preparatory High School,0,0
13K595,Bedford Academy High School,0,0
13K605,George Westinghouse Career and Technical Education,20,16
13K616,Brooklyn High School for Leadership and Community,0,0
13K670,Benjamin Banneker Academy,0,0
13K674,"City Polytechnic High School of Engineering, Archi",0,0
14K449,"Brooklyn Latin School, The",0,0
14K454,The Williamsburg High School of Art and Technology,0,0
14K474,PROGRESS High School for Professional Careers,0,0
14K477,East Williamsburg Scholars Academy,0,0
14K478,"The High School for Enterprise, Business and Techn",0,0
14K488,Brooklyn Preparatory High School,0,0
14K558,Williamsburg High School for Architecture and Desi,6,0
14K561,Williamsburg Preparatory School,0,0
14K610,Automotive High School,0,0
14K685,El Puente Academy for Peace and Justice,0,0
15K423,Brooklyn Frontiers High School,0,0
15K462,John Jay School for Law,0,0
15K519,Cobble Hill School of American Studies,0,0
15K656,Brooklyn High School of the Arts,0,0
15K667,Sunset Park High School,22,8
15K698,South Brooklyn Community High School,0,0
16K455,Boys and Girls High School,6,0
16K498,Brooklyn High School for Law and Technology,0,0
16K594,Gotham Professional Arts Academy,0,0
16K688,The Brooklyn Academy of Global Finance,0,0
16K765,Nelson Mandela High School,6,0
17K122,Pathways in Technology Early College High School (,6,0
17K408,Academy of Hospitality and Tourism,6,0
17K528,The High School for Global Citizenship,0,0
17K537,High School for Youth and Community Development at,8,7
17K546,High School for Public Service: Heroes of Tomorrow,0,0
17K547,Brooklyn Academy of Science and the Environment,0,0
17K548,Brooklyn School for Music & Theatre,10,0
17K568,Brownsville Academy High School,0,0
17K600,Clara Barton High School,6,0
17K745,Brooklyn Institute for Liberal Arts,0,0
18K563,It Takes a Village Academy,0,0
18K566,Brooklyn Generation School,0,0
18K569,Kurt Hahn Expeditionary Learning School,11,8
18K576,Victory Collegiate High School,0,0
18K578,Brooklyn Bridge Academy,0,0
18K617,High School for Innovation in Advertising and Medi,0,0
18K629,Cultural Academy for the Arts and Sciences,7,0
18K635,Olympus Academy,0,0
18K637,Academy for Conservation and the Environment,0,0
18K673,East Brooklyn Community High School,0,0
19K502,FDNY - Captain Vernon A. Richards High School for,0,0
19K504,High School for Civil Rights,6,0
19K510,World Academy for Total Community Health High Scho,0,0
19K583,Multicultural High School,0,0
19K615,Transit Tech Career and Technical Education High S,15,9
19K618,Academy of Innovative Technology,0,0
19K639,Brooklyn Lab School,14,0
19K659,Cypress Hills Collegiate Preparatory School,0,0
19K660,W. H. Maxwell Career and Technical Education High,0,0
19K683,"The School for Classics: An Academy of Thinkers, W",9,0
20K445,New Utrecht High School,0,0
20K485,High School of Telecommunication Arts and Technolo,11,9
20K490,Fort Hamilton High School,6,0
20K505,Franklin Delano Roosevelt High School,15,0
21K344,Rachel Carson High School for Coastal Studies,0,0
21K410,Abraham Lincoln High School,0,0
21K525,Edward R. Murrow High School,30,20
21K540,John Dewey High School,20,12
21K572,Expeditionary Learning School for Community Leader,0,0
21K620,William E. Grady Career and Technical Education Hi,10,0
21K728,Liberation Diploma Plus,0,0
22K405,Midwood High School,9,0
22K535,Leon M. Goldstein High School for the Sciences,0,0
22K611,Origins High School,6,0
22K630,Professional Pathways High School,0,0
23K493,Brooklyn Collegiate: A College Board School,0,0
23K514,Frederick Douglass Academy VII High School,0,0
23K646,Aspirations Diploma Plus High School,0,0
24Q236,International High School for Health Sciences,0,0
24Q267,High School of Applied Communication,0,0
24Q293,Civic Leadership Academy,0,0
24Q296,Pan American International High School,0,0
24Q299,Bard High School Early College Queens,0,0
24Q455,Newtown High School,0,0
24Q485,Grover Cleveland High School,0,0
24Q530,International High School at LaGuardia Community C,0,0
24Q550,High School for Arts and Business,9,0
24Q585,Maspeth High School,6,6
24Q600,Queens Vocational and Technical High School,0,0
24Q610,Aviation Career & Technical Education High School,17,10
25Q263,Flushing International High School,0,0
25Q425,John Bowne High School,9,0
25Q460,Flushing High School,0,0
25Q525,Townsend Harris High School,0,0
25Q540,Queens Academy High School,0,0
25Q670,Robert F. Kennedy Community High School,9,0
26Q315,Business Technology Early College High School,6,0
26Q415,Benjamin N. Cardozo High School,9,0
26Q430,Francis Lewis High School,19,11
26Q435,Martin Van Buren High School,0,0
